x,y,z
0,233333.06,4283498.7,128.74
1,233333.87,4283515.48,128.29
2,233333.91,4283516.47,128.23
3,233334.2,4283522.41,128.09
4,233334.24,4283523.39,128.09
5,233334.33000000002,4283525.37,128.04
6,233334.81,4283535.2700000005,127.87
7,233334.86000000002,4283536.2700000005,127.82000000000001
8,233334.9,4283537.2700000005,127.83
9,233334.95,4283538.25,127.83
10,233335.0,4283539.24,127.84
11,233332.55000000002,4283468.99,128.86
12,233332.42,4283466.15,128.72
13,233332.38,4283465.2,128.74
14,233332.33000000002,4283464.25,128.73
15,233332.29,4283463.3,128.7
16,233332.25,4283462.35,128.67000000000002
17,233332.21,4283461.41,128.68
18,233334.64,4283468.29,128.61
19,233335.92,4283471.59,128.6
20,233338.09,4283517.25,128.11
21,233338.14,4283518.2700000005,128.07
22,233338.23,4283520.25,128.03
23,233338.85,4283533.23,127.81
24,233338.95,4283535.25,127.8
25,233339.0,4283536.23,127.74000000000001
26,233339.09,4283538.25,127.72
27,233339.14,4283539.23,127.75
28,233339.17,4283522.79,127.95
29,233339.03,4283519.98,128.01
30,233338.91,4283517.2,128.09
31,233338.78,4283514.42,128.14000000000001
32,233338.69,4283512.55,128.17000000000002
33,233338.56,4283509.75,128.22
34,233338.52000000002,4283508.83,128.19
35,233338.47,4283507.9,128.24
36,233338.43,4283506.95,128.25
37,233338.39,4283506.0200000005,128.32
38,233338.35,4283505.09,128.31
39,233337.41,4283461.38,128.32
40,233337.45,4283462.35,128.34
41,233337.5,4283463.3100000005,128.36
42,233339.65,4283508.61,128.2
43,233339.74,4283510.57,128.12
44,233339.79,4283511.58,128.14000000000001
45,233339.83000000002,4283512.57,128.11
46,233339.93,4283514.55,128.07
47,233340.27000000002,4283521.5,127.99000000000001
48,233341.08000000002,4283538.43,127.71000000000001
49,233341.31,4283524.73,127.84
50,233341.02000000002,4283518.17,127.97
51,233340.93,4283516.3,127.98
52,233340.71,4283511.63,128.08
53,233338.36000000002,4283460.9,128.28
54,233339.46,4283460.7700000005,128.24
55,233339.51,4283461.73,128.28
56,233339.55000000002,4283462.7,128.26
57,233339.6,4283463.68,128.27
58,233339.65,4283464.63,128.28
59,233340.11000000002,4283474.38,128.47
60,233341.54,4283504.69,128.14000000000001
61,233342.01,4283514.54,128.0
62,233342.06,4283515.5200000005,127.98
63,233342.11000000002,4283516.49,127.96000000000001
64,233342.35,4283521.43,127.8
65,233342.39,4283522.42,127.82000000000001
66,233343.05000000002,4283536.25,127.77
67,233342.72,4283510.55,128.08
68,233342.67,4283509.6,128.07
69,233342.63,4283508.65,128.08
70,233342.58000000002,4283507.72,128.09
71,233342.54,4283506.76,128.07
72,233342.5,4283505.84,128.1
73,233342.41,4283503.94,128.12
74,233342.37,4283503.0,128.16
75,233342.29,4283501.13,128.17000000000002
76,233342.15,4283498.29,128.14000000000001
77,233342.02000000002,4283495.47,128.19
78,233341.84,4283491.7,128.22
79,233341.44,4283460.89,128.21
80,233343.6,4283506.38,128.07
81,233343.79,4283510.36,128.01
82,233343.84,4283511.35,128.01
83,233343.94,4283513.33,128.02
84,233343.99,4283514.34,128.02
85,233344.08000000002,4283516.3100000005,127.96000000000001
86,233344.18,4283518.33,127.87
87,233344.56,4283505.6,128.0
88,233344.39,4283501.84,128.07
89,233344.26,4283499.03,128.07
90,233344.22,4283498.09,128.12
91,233344.17,4283497.14,128.07
92,233344.05000000002,4283494.34,128.13
93,233343.91,4283491.51,128.2
94,233343.83000000002,4283489.63,128.21
95,233343.74,4283487.73,128.18
96,233344.57,4283481.74,128.26
97,233344.66,4283483.7,128.21
98,233344.72,4283484.68,128.2
99,233344.77000000002,4283485.67,128.17000000000002
100,233345.7,4283505.47,128.01
101,233345.80000000002,4283507.46,127.96000000000001
102,233345.85,4283508.45,127.96000000000001
103,233346.95,4283531.34,127.75
104,233346.75,4283509.43,127.91
105,233346.7,4283508.5,127.94
106,233346.66,4283507.57,127.94
107,233346.62,4283506.63,127.94
108,233346.53,4283504.74,128.0
109,233346.41,4283501.94,128.0
110,233346.32,4283500.04,127.98
111,233346.14,4283496.3,128.01
112,233346.09,4283495.36,128.05
113,233346.05000000002,4283494.41,128.09
114,233345.97,4283492.55,128.07
115,233345.92,4283491.61,128.11
116,233345.99,4283469.43,128.19
117,233346.08000000002,4283471.36,128.25
118,233347.35,4283497.98,128.0
119,233347.39,4283498.96,127.99000000000001
120,233347.44,4283499.94,127.96000000000001
121,233347.49,4283500.95,127.98
122,233349.30000000002,4283538.68,127.72
123,233350.03,4283534.94,127.72
124,233349.72,4283528.37,127.74000000000001
125,233349.68,4283527.43,127.8
126,233347.80000000002,4283487.08,128.07
127,233346.66,4283462.58,128.09
128,233346.62,4283461.63,128.08
129,233346.58000000002,4283460.69,128.06
130,233348.86000000002,4283485.57,127.97
131,233351.1,4283532.22,127.75
132,233351.33000000002,4283537.2,127.75
133,233352.04,4283533.39,127.76
134,233352.0,4283532.45,127.71000000000001
135,233351.96,4283531.5,127.73
136,233350.03,4283490.18,127.87
137,233349.93,4283488.25,127.85000000000001
138,233352.65,4283521.45,127.72
139,233352.85,4283525.5,127.66
140,233353.18,4283532.54,127.69
141,233353.38,4283536.57,127.69
142,233353.98,4283531.01,127.55
143,233353.66,4283524.44,127.59
144,233353.62,4283523.5200000005,127.58
145,233353.54,4283521.65,127.58
146,233353.49,4283520.71,127.60000000000001
147,233353.36000000002,4283517.89,127.53
148,233353.27000000002,4283516.0200000005,127.56
149,233353.22,4283515.07,127.52
150,233354.03,4283506.35,127.52
151,233354.88,4283524.24,127.39
152,233355.08000000002,4283528.25,127.43
153,233355.17,4283530.24,127.37
154,233355.56,4283538.22,127.4
155,233332.91,4283497.12,128.74
156,233334.46,4283529.9,127.95
157,233334.51,4283530.88,127.92
158,233334.55000000002,4283531.86,127.91
159,233334.6,4283532.88,127.89
160,233334.69,4283534.86,127.83
161,233334.12,4283502.83,128.61
162,233333.32,4283461.43,128.59
163,233333.36000000002,4283462.4,128.6
164,233333.41,4283463.4,128.62
165,233335.92,4283515.64,128.2
166,233336.01,4283517.63,128.14000000000001
167,233336.11000000002,4283519.62,128.1
168,233336.39,4283525.54,127.95
169,233337.05000000002,4283539.46,127.74000000000001
170,233335.93,4283496.55,128.5
171,233335.76,4283492.79,128.57
172,233335.67,4283490.88,128.6
173,233335.63,4283489.94,128.6
174,233334.38,4283463.45,128.55
175,233334.29,4283461.55,128.51
176,233335.33000000002,4283461.2,128.47
177,233335.38,4283462.17,128.46
178,233335.52000000002,4283465.1,128.5
179,233335.57,4283466.09,128.53
180,233335.67,4283468.03,128.55
181,233335.76,4283469.99,128.56
182,233336.43,4283483.7,128.6
183,233336.7,4283489.6,128.53
184,233336.95,4283494.5200000005,128.52
185,233336.99,4283495.49,128.49
186,233338.26,4283522.17,127.99000000000001
187,233338.30000000002,4283523.17,127.97
188,233338.35,4283524.16,127.98
189,233338.4,4283525.16,127.96000000000001
190,233338.69,4283531.1,127.86
191,233339.93,4283539.35,127.71000000000001
192,233339.85,4283537.48,127.72
193,233339.81,4283536.54,127.73
194,233339.67,4283533.74,127.78
195,233339.63,4283532.79,127.76
196,233339.59,4283531.84,127.83
197,233339.55000000002,4283530.91,127.85000000000001
198,233339.5,4283529.98,127.85000000000001
199,233339.38,4283527.16,127.88000000000001
200,233339.33000000002,4283526.22,127.89
201,233337.77000000002,4283492.41,128.43
202,233337.72,4283491.46,128.45
203,233337.33000000002,4283482.98,128.56
204,233337.11000000002,4283478.25,128.58
205,233336.97,4283475.43,128.62
206,233336.93,4283474.48,128.6
207,233336.89,4283473.53,128.59
208,233336.84,4283472.59,128.57
209,233336.80000000002,4283471.64,128.57
210,233336.61000000002,4283467.85,128.47
211,233336.57,4283466.92,128.42000000000002
212,233336.44,4283464.07,128.43
213,233336.34,4283462.16,128.39000000000001
214,233337.82,4283469.51,128.44
215,233337.86000000002,4283470.47,128.49
216,233338.06,4283474.4,128.53
217,233338.2,4283477.34,128.53
218,233338.25,4283478.3100000005,128.55
219,233339.43,4283502.95,128.25
220,233339.52000000002,4283504.93,128.26
221,233339.56,4283505.91,128.23
222,233339.66,4283507.9,128.19
223,233340.31,4283521.76,127.93
224,233340.41,4283523.76,127.93
225,233340.46,4283524.75,127.88000000000001
226,233340.5,4283525.73,127.86
227,233340.55000000002,4283526.74,127.83
228,233340.65,4283528.71,127.8
229,233340.75,4283530.71,127.82000000000001
230,233340.81,4283512.41,128.07
231,233340.67,4283509.58,128.14000000000001
232,233340.64,4283508.66,128.11
233,233340.59,4283507.72,128.17000000000002
234,233340.55000000002,4283506.76,128.18
235,233340.46,4283504.89,128.23
236,233340.42,4283503.96,128.23
237,233340.38,4283503.0200000005,128.22
238,233340.33000000002,4283502.07,128.28
239,233339.98,4283494.5600000005,128.28
240,233339.94,4283493.61,128.33
241,233339.85,4283491.72,128.35
242,233339.80000000002,4283490.7700000005,128.36
243,233339.72,4283488.91,128.36
244,233339.67,4283487.96,128.38
245,233340.97,4283491.84,128.27
246,233341.02000000002,4283492.83,128.26
247,233341.07,4283493.82,128.27
248,233341.64,4283505.66,128.18
249,233341.73,4283507.64,128.12
250,233342.72,4283528.47,127.72
251,233342.77000000002,4283529.47,127.76
252,233342.82,4283530.45,127.72
253,233342.89,4283513.45,128.0
254,233342.85,4283512.51,128.04
255,233342.80000000002,4283511.58,128.03
256,233341.93,4283492.89,128.21
257,233341.80000000002,4283490.07,128.28
258,233342.07,4283469.76,128.33
259,233342.27000000002,4283473.66,128.41
260,233343.06,4283490.33,128.19
261,233343.16,4283492.3100000005,128.16
262,233343.34,4283496.24,128.14000000000001
263,233343.39,4283497.2,128.12
264,233343.44,4283498.2,128.1
265,233343.49,4283499.18,128.08
266,233343.53,4283500.16,128.14000000000001
267,233345.83000000002,4283529.65,127.74000000000001
268,233344.04,4283490.96,128.14000000000001
269,233343.93,4283464.8100000005,128.22
270,233344.02000000002,4283466.76,128.28
271,233344.07,4283467.74,128.31
272,233344.11000000002,4283468.73,128.29
273,233344.22,4283470.69,128.31
274,233344.31,4283472.65,128.35
275,233345.30000000002,4283493.33,128.11
276,233345.34,4283494.29,128.08
277,233345.39,4283495.29,128.1
278,233345.49,4283497.26,128.05
279,233345.54,4283498.26,128.06
280,233346.71,4283523.01,127.83
281,233347.42,4283537.92,127.72
282,233347.47,4283538.92,127.71000000000001
283,233347.6,4283524.5,127.9
284,233346.03,4283490.6,128.15
285,233346.35,4283472.14,128.22
286,233346.4,4283473.13,128.23
287,233346.45,4283474.1,128.24
288,233346.54,4283476.09,128.27
289,233346.58000000002,4283477.0600000005,128.22
290,233346.63,4283478.04,128.17000000000002
291,233346.68,4283479.04,128.18
292,233348.1,4283508.72,127.93
293,233348.15,4283509.72,127.91
294,233348.53,4283517.67,127.85000000000001
295,233348.77000000002,4283522.64,127.82000000000001
296,233348.95,4283526.64,127.85000000000001
297,233349.04,4283528.62,127.75
298,233349.28,4283533.61,127.68
299,233349.33000000002,4283534.6,127.73
300,233349.29,4283513.93,127.88000000000001
301,233349.2,4283512.04,127.89
302,233348.1,4283488.55,128.02
303,233347.88,4283460.8,127.96000000000001
304,233347.93,4283461.78,127.98
305,233348.12,4283465.69,128.09
306,233350.43,4283513.92,127.89
307,233350.57,4283516.88,127.86
308,233350.62,4283517.89,127.86
309,233350.66,4283518.88,127.85000000000001
310,233350.76,4283520.85,127.8
311,233350.89,4283523.83,127.83
312,233350.94,4283524.82,127.83
313,233351.83000000002,4283525.21,127.73
314,233351.57,4283519.62,127.78
315,233351.53,4283518.7,127.85000000000001
316,233351.48,4283517.7700000005,127.78
317,233351.44,4283516.82,127.8
318,233351.4,4283515.91,127.81
319,233351.13,4283510.3100000005,127.88000000000001
320,233349.0,4283464.57,127.9
321,233348.95,4283463.64,127.9
322,233348.87,4283461.75,127.87
323,233348.82,4283460.82,127.83
324,233351.81,4283498.86,127.65
325,233351.86000000002,4283499.86,127.67
326,233351.91,4283500.84,127.69
327,233351.96,4283501.85,127.66
328,233352.68,4283516.8100000005,127.71000000000001
329,233352.77000000002,4283518.84,127.67
330,233352.87,4283520.84,127.65
331,233353.49,4283533.84,127.64
332,233353.53,4283534.84,127.64
333,233353.67,4283537.84,127.67
334,233354.57,4283513.08,127.5
335,233354.62,4283514.07,127.49000000000001
336,233354.66,4283515.0600000005,127.5
337,233355.04,4283523.01,127.44
338,233354.64,4283495.55,127.63000000000001
339,233241.46,4283494.08,127.77
340,233241.55000000002,4283496.0200000005,127.75
341,233241.65,4283497.99,127.74000000000001
342,233241.75,4283499.97,127.73
343,233241.94,4283503.88,127.74000000000001
344,233243.85,4283524.0600000005,127.75
345,233243.72,4283521.25,127.75
346,233243.67,4283520.32,127.78
347,233243.63,4283519.39,127.76
348,233243.59,4283518.44,127.76
349,233243.53,4283517.5,127.82000000000001
350,233243.49,4283516.58,127.8
351,233243.45,4283515.65,127.8
352,233243.4,4283514.69,127.85000000000001
353,233243.17,4283510.0200000005,127.8
354,233242.81,4283502.51,127.84
355,233242.76,4283501.59,127.87
356,233242.72,4283500.65,127.87
357,233242.67,4283499.73,127.85000000000001
