,x,y,z
0,233700.79,4283096.57,127.57000000000001
1,233701.29,4283107.86,127.44
2,233701.72,4283069.6,127.54
3,233702.05000000002,4283077.05,127.49000000000001
4,233702.14,4283079.15,127.48
5,233702.24,4283081.26,127.51
6,233702.56,4283088.64,127.59
7,233702.74,4283092.82,127.57000000000001
8,233703.05000000002,4283100.12,127.57000000000001
9,233703.48,4283062.3100000005,127.49000000000001
10,233703.71,4283067.65,127.58
11,233704.45,4283084.5600000005,127.63000000000001
12,233704.63,4283088.75,127.65
13,233704.72,4283090.83,127.63000000000001
14,233704.95,4283096.03,127.64
15,233705.04,4283098.09,127.60000000000001
16,233705.22,4283102.24,127.59
17,233705.67,4283063.66,127.56
18,233705.77000000002,4283065.8,127.60000000000001
19,233706.0,4283071.14,127.67
20,233706.6,4283084.92,127.77
21,233709.0,4283107.91,127.59
22,233708.75,4283101.8100000005,127.56
23,233708.18,4283088.61,127.81
24,233707.45,4283071.29,127.72
25,233707.52000000002,4283058.2,127.65
26,233707.74,4283063.55,127.67
27,233707.93,4283067.8100000005,127.75
28,233708.02000000002,4283069.94,127.81
29,233708.25,4283075.22,127.86
30,233708.43,4283079.44,127.91
31,233708.57,4283082.59,127.92
32,233708.66,4283084.67,127.87
33,233711.13,4283109.3,127.55
34,233710.66,4283098.09,127.64
35,233710.48,4283094.05,127.82000000000001
36,233710.4,4283092.0200000005,127.87
37,233710.1,4283084.89,128.02
38,233709.92,4283080.83,128.04
39,233709.76,4283076.74,128.04
40,233709.62,4283073.67,127.97
41,233709.19,4283063.45,127.93
42,233709.72,4283059.87,128.02
43,233712.82,4283097.96,127.64
44,233712.73,4283095.97,127.96000000000001
45,233712.26,4283084.87,128.47
46,233712.09,4283080.8100000005,128.53
47,233712.0,4283078.7700000005,128.5
48,233711.92,4283076.73,128.46
49,233711.61000000002,4283069.6,128.52
50,233711.45,4283065.55,128.47
51,233713.81,4283073.07,129.03
52,233713.73,4283071.04,129.08
53,233713.18,4283057.65,128.21
54,233715.43,4283059.99,129.14000000000001
55,233720.75,4283068.84,131.04
56,233721.16,4283078.34,130.91
57,233721.24,4283080.43,130.84
58,233721.34,4283082.54,130.81
59,233721.93,4283095.68,127.99000000000001
60,233722.42,4283106.98,127.54
61,233722.5,4283109.03,127.52
62,233722.87,4283085.85,131.06
63,233722.74,4283067.43,131.07
64,233722.95,4283072.75,131.2
65,233724.22,4283101.59,127.54
66,233724.57,4283058.04,128.64000000000001
67,233725.02000000002,4283069.14,131.17000000000002
68,233726.18,4283095.95,127.96000000000001
69,233727.84,4283101.51,127.51
70,233727.76,4283099.49,127.51
71,233727.68,4283097.49,127.62
72,233726.37,4283066.5600000005,131.07
73,233726.62,4283057.59,128.34
74,233727.23,4283072.93,131.25
75,233729.88,4283099.39,127.56
76,233729.80000000002,4283097.38,127.66
77,233729.55000000002,4283091.57,129.48
78,233731.49,4283087.71,131.01
79,233731.25,4283082.03,131.91
80,233731.17,4283080.1,132.0
81,233731.09,4283078.17,132.14000000000001
82,233730.77000000002,4283070.43,132.45
83,233730.35,4283059.09,129.06
84,233733.34,4283081.8,132.71
85,233732.9,4283070.68,133.03
86,233732.82,4283068.63,132.94
87,233732.34,4283055.57,127.84
88,233741.7,4283064.48,131.15
89,233742.08000000002,4283074.03,131.43
90,233742.55000000002,4283085.5,131.27
91,233743.28,4283102.48,127.42
92,233743.92,4283066.48,130.5
93,233744.30000000002,4283076.0200000005,130.72
94,233744.85,4283089.5,130.01
95,233745.41,4283102.53,127.38000000000001
96,233745.89,4283064.76,129.72
97,233746.1,4283070.13,129.96
98,233746.19,4283072.24,129.99
99,233746.27000000002,4283074.35,130.06
100,233747.67,4283108.2700000005,127.32000000000001
101,233748.26,4283087.3100000005,129.33
102,233748.18,4283085.3,129.4
103,233747.85,4283060.46,128.78
104,233747.93,4283062.6,128.94
105,233748.39,4283074.23,129.26
106,233748.69,4283081.5600000005,129.3
107,233750.25,4283086.74,128.7
108,233750.21,4283085.73,128.7
109,233749.81,4283075.51,128.83
110,233749.66,4283054.88,127.5
111,233750.17,4283067.88,128.54
112,233750.34,4283072.14,128.55
113,233750.42,4283074.25,128.58
114,233752.95,4283100.33,127.34
115,233752.35,4283085.13,128.15
116,233751.84,4283071.83,128.16
117,233751.76,4283069.78,128.15
118,233751.33000000002,4283058.44,127.86
119,233752.32,4283068.29,127.89
120,233754.82,4283096.65,127.31
121,233754.24,4283081.45,127.73
122,233754.16,4283079.41,127.75
123,233753.73,4283068.2,127.69
124,233753.66,4283066.18,127.71000000000001
125,233753.57,4283064.12,127.68
126,233753.23,4283054.89,127.25
127,233757.17,4283101.95,127.19
128,233755.81,4283066.32,127.59
129,233755.65,4283062.21,127.46000000000001
130,233755.49,4283058.1,127.38000000000001
131,233755.42,4283056.07,127.35000000000001
132,233757.44,4283054.8100000005,127.28
133,233695.6,4283098.29,127.53
134,233695.03,4283085.15,127.46000000000001
135,233694.95,4283083.13,127.47
136,233694.38,4283069.97,127.54
137,233696.46,4283069.67,127.51
138,233696.16,4283062.5200000005,127.44
139,233699.15,4283086.86,127.5
140,233698.42,4283069.5,127.51
141,233698.33000000002,4283067.45,127.48
142,233698.29,4283066.42,127.48
143,233698.11000000002,4283062.33,127.45
144,233698.03,4283060.29,127.48
145,233697.94,4283058.24,127.49000000000001
146,233700.84,4283079.21,127.47
147,233700.67,4283075.13,127.51
148,233700.53,4283072.0600000005,127.55
149,233700.36000000002,4283067.96,127.53
150,233700.28,4283065.93,127.51
151,233702.68,4283075.45,127.58
152,233702.58000000002,4283073.4,127.52
153,233702.2,4283064.29,127.57000000000001
