,x,y,z
0,232429.55000000002,4282163.87,136.76
1,232429.58000000002,4282164.83,137.08
2,232429.84,4282173.51,138.59
3,232429.95,4282176.44,138.68
4,232431.5,4282214.2,130.22
5,232431.62,4282217.21,129.68
6,232431.66,4282218.21,129.63
7,232431.88,4282224.15,129.22
8,232431.95,4282226.12,129.08
9,232432.66,4282224.0600000005,129.19
10,232432.53,4282220.33,129.52
11,232432.43,4282217.55,129.66
12,232432.39,4282216.62,129.77
13,232432.35,4282215.69,129.88
14,232432.17,4282210.99,130.99
15,232431.71,4282199.7700000005,133.85
16,232431.29,4282190.36,137.81
17,232431.08000000002,4282184.8,138.73
18,232431.05000000002,4282183.89,138.77
19,232430.84,4282177.5,138.67000000000002
20,232430.11000000002,4282151.3,131.34
21,232430.06,4282149.48,131.0
22,232430.03,4282148.58,130.87
23,232431.48,4282163.38,136.65
24,232431.53,4282165.32,137.11
25,232432.21,4282185.71,138.68
26,232434.44,4282241.49,128.49
27,232434.62,4282246.43,128.44
28,232434.66,4282247.41,128.39000000000001
29,232434.69,4282227.8,128.99
30,232434.66,4282226.86,129.01
31,232434.59,4282224.98,129.16
32,232434.33000000002,4282217.51,129.67000000000002
33,232434.1,4282211.85,130.8
34,232433.43,4282195.76,135.71
35,232433.15,4282189.14,138.16
36,232432.98,4282184.5,138.72
37,232432.94,4282183.57,138.77
38,232432.88,4282181.72,138.77
39,232432.57,4282172.51,138.59
40,232432.01,4282150.74,131.29
41,232433.31,4282157.2700000005,133.26
42,232433.56,4282167.74,137.74
43,232433.63,4282169.66,138.07
44,232433.65,4282170.64,138.21
45,232433.75,4282173.53,138.55
46,232435.11000000002,4282207.22,131.29
47,232435.30000000002,4282212.18,130.62
48,232435.33000000002,4282213.15,130.56
49,232436.4,4282241.85,128.54
50,232436.44,4282242.85,128.49
51,232436.65,4282248.76,128.42000000000002
52,232436.65,4282227.75,129.0
53,232436.55000000002,4282224.96,129.14000000000001
54,232436.52000000002,4282224.03,129.21
55,232436.48,4282223.08,129.39000000000001
56,232436.14,4282213.7700000005,130.31
57,232435.28,4282193.11,136.71
58,232435.09,4282188.43,138.25
59,232435.06,4282187.5,138.33
60,232434.93,4282183.82,138.67000000000002
61,232434.86000000002,4282181.98,138.78
62,232434.80000000002,4282180.15,138.81
63,232434.38,4282166.5,137.19
64,232434.35,4282165.59,136.99
65,232435.65,4282171.68,138.21
66,232436.45,4282193.19,136.68
67,232436.54,4282195.2,135.78
68,232437.41,4282216.2,129.77
69,232439.24,4282247.5600000005,128.41
70,232438.24,4282218.5600000005,129.45
71,232437.67,4282203.57,131.76
72,232436.91,4282185.63,138.32
73,232436.72,4282180.11,138.67000000000002
74,232436.54,4282174.61,138.36
75,232436.43,4282170.97,138.04
76,232437.24,4282156.96,132.55
77,232437.49,4282167.39,136.86
78,232437.52000000002,4282168.36,136.96
79,232437.73,4282175.07,138.01
80,232437.95,4282181.83,138.53
81,232438.1,4282185.72,138.19
82,232438.99,4282206.62,131.2
83,232439.06,4282208.57,131.03
84,232439.13,4282210.54,130.8
85,232439.21,4282212.5200000005,130.38
86,232439.24,4282213.49,130.23
87,232440.11000000002,4282237.08,128.65
88,232440.36000000002,4282243.95,128.5
89,232440.39,4282244.92,128.43
90,232441.23,4282248.35,128.39000000000001
91,232441.13,4282245.57,128.47
92,232441.11000000002,4282244.65,128.47
93,232441.08000000002,4282243.72,128.48
94,232441.04,4282242.79,128.51
95,232440.94,4282240.01,128.55
96,232440.88,4282238.16,128.61
97,232440.18,4282217.85,129.47
98,232440.11000000002,4282215.99,129.76
99,232439.66,4282203.95,131.47
100,232439.0,4282188.05,137.35
101,232438.79,4282182.53,138.13
102,232438.7,4282179.7700000005,138.39000000000001
103,232438.64,4282177.95,138.35
104,232438.54,4282174.34,137.67000000000002
105,232439.76,4282177.5200000005,138.13
106,232440.23,4282190.32,136.5
107,232440.41,4282194.34,135.01
108,232440.89,4282205.39,131.13
109,232440.95,4282207.38,131.0
110,232440.99,4282208.36,130.96
111,232442.21,4282242.11,128.52
112,232442.29,4282244.08,128.51
113,232443.11000000002,4282247.87,128.42000000000002
114,232443.08000000002,4282246.94,128.47
115,232443.02000000002,4282245.05,128.49
116,232441.98,4282214.92,129.85
117,232441.91,4282213.01,130.13
118,232441.13,4282193.13,135.29
119,232440.79,4282184.66,137.63
120,232440.65,4282180.9,138.16
121,232440.45,4282173.61,136.89000000000001
122,232440.42,4282172.67,136.99
123,232441.41,4282167.3,135.65
124,232441.47,4282169.23,135.94
125,232441.62,4282174.07,136.44
126,232441.73,4282177.91,137.4
127,232442.07,4282187.72,136.97
128,232442.5,4282197.75,133.09
129,232442.54,4282198.76,132.82
130,232442.72,4282202.7700000005,131.48
131,232442.93,4282208.71,130.78
132,232444.15,4282242.36,128.53
133,232444.24,4282245.32,128.48
134,232444.31,4282247.3100000005,128.46
135,232445.06,4282248.01,128.44
136,232444.97,4282245.2,128.48
137,232444.85,4282241.44,128.56
138,232444.25,4282223.75,128.96
