,x,y,z
0,214554.6,3884530.9,86.81
1,214554.69,3884530.66,90.5
2,214553.24,3884528.85,87.78
3,214553.67,3884528.7800000003,98.81
4,214553.94,3884531.18,91.04
5,214554.72,3884534.33,91.36
6,214554.67,3884535.49,95.87
7,214553.81,3884532.5300000003,92.42
8,214553.46,3884531.35,90.98
9,214553.22,3884530.94,87.44
10,214552.96,3884532.7600000002,87.59
11,214553.68,3884533.94,98.22
12,214554.88,3884536.86,110.45
13,214555.01,3884537.56,109.51
14,214554.81,3884539.27,94.14
15,214555.03,3884540.8000000003,90.43
16,214553.89,3884538.84,89.93
17,214554.03,3884536.2600000002,109.02
18,214553.21,3884536.46,87.66
19,214553.12,3884534.6,96.59
20,214553.07,3884532.63,107.13
21,214551.84,3884530.73,88.24
22,214551.54,3884529.44,88.64
23,214551.18,3884530.14,96.49000000000001
24,214550.99,3884530.63,88.94
25,214551.39,3884531.67,92.41
26,214551.64,3884533.06,90.43
27,214552.38,3884535.25,95.52
28,214552.80000000002,3884535.12,106.56
29,214553.09,3884536.44,105.7
30,214553.35,3884536.73,110.57000000000001
31,214553.42,3884538.69,100.46000000000001
32,214553.48,3884539.63,96.2
33,214554.96,3884546.18,93.67
34,214555.36000000002,3884550.8000000003,93.0
35,214555.19,3884547.81,106.72
36,214555.02000000002,3884546.0700000003,112.87
37,214554.42,3884546.93,93.10000000000001
38,214554.0,3884546.0300000003,88.13
39,214553.37,3884540.11,108.04
40,214551.66,3884536.42,88.27
41,214550.57,3884530.93,94.53
42,214550.35,3884529.45,97.97
43,214550.12,3884529.0,95.12
44,214549.07,3884528.89,91.33
45,214549.73,3884531.31,93.12
46,214551.34,3884535.29,108.97
47,214551.42,3884536.13,105.88
48,214551.68,3884536.45,110.42
49,214551.31,3884538.62,88.29
50,214552.11000000002,3884538.45,108.92
51,214551.78,3884540.54,88.34
52,214553.0,3884542.3200000003,107.69
53,214552.56,3884543.73,88.48
54,214554.05000000002,3884545.67,113.56
55,214553.97,3884549.5100000002,88.60000000000001
56,214554.24,3884549.73,93.92
57,214554.52000000002,3884551.11,92.7
58,214555.12,3884550.14,113.11
59,214555.2,3884549.83,116.99000000000001
60,214555.12,3884551.35,105.98
61,214554.78,3884553.43,98.35000000000001
62,214554.94,3884551.6,113.19
63,214554.26,3884552.93,88.59
64,214553.49,3884549.71,88.91
65,214553.74,3884547.64,107.52
66,214553.6,3884545.79,115.10000000000001
67,214553.51,3884546.12,110.88
68,214551.4,3884540.54,92.54
69,214550.84,3884538.91,88.72
70,214551.07,3884537.15,104.83
71,214550.26,3884536.29,90.02
72,214549.58000000002,3884532.88,93.83
73,214549.32,3884532.54,89.44
74,214549.37,3884532.39,91.8
75,214549.4,3884531.29,98.95
76,214548.94,3884529.42,98.87
77,214549.07,3884534.77,89.79
78,214549.6,3884536.5100000002,92.47
79,214549.69,3884536.2600000002,96.13
80,214550.87,3884539.3000000003,107.06
81,214551.21,3884540.47,108.4
82,214551.13,3884540.73,104.83
83,214550.9,3884541.47,94.66
84,214551.54,3884541.69,109.08
85,214551.9,3884542.77,111.61
86,214553.37,3884548.19,115.39
87,214553.59,3884553.49,88.98
88,214554.23,3884553.52,104.59
89,214554.42,3884555.2800000003,98.71000000000001
90,214554.92,3884554.5500000003,115.4
91,214554.67,3884556.79,96.04
92,214554.57,3884557.2,91.14
93,214555.57,3884556.96,116.96000000000001
94,214555.42,3884558.9,101.75
95,214555.69,3884561.7,91.69
96,214555.80000000002,3884564.87,89.85000000000001
97,214555.76,3884563.67,95.89
98,214555.77000000002,3884560.88,112.99000000000001
99,214555.57,3884560.45,110.52
100,214554.59,3884558.0300000003,100.95
101,214554.04,3884557.66,89.85000000000001
102,214554.41,3884554.9,115.25
103,214553.56,3884555.7,89.79
104,214554.1,3884553.58,115.65
105,214553.84,3884553.36,110.56
106,214553.67,3884554.02,102.39
107,214553.08000000002,3884552.5,97.17
108,214553.22,3884550.7800000003,110.66
109,214552.14,3884549.84,89.93
110,214552.64,3884548.0300000003,113.11
111,214551.66,3884547.91,89.8
112,214552.22,3884545.96,115.2
113,214551.97,3884545.65,111.0
114,214551.65,3884546.77,96.26
115,214551.55000000002,3884545.9,99.19
116,214551.23,3884545.84,91.5
117,214551.66,3884544.38,110.95
118,214551.32,3884544.35,102.74000000000001
119,214550.92,3884543.38,98.64
120,214550.73,3884541.67,104.41
121,214550.65,3884541.94,100.68
122,214550.51,3884542.38,94.64
123,214549.98,3884540.64,92.17
124,214549.99,3884539.5,99.07000000000001
125,214549.61000000002,3884539.52,89.77
126,214548.05000000002,3884533.08,90.05
127,214547.75,3884531.7600000002,90.63
128,214547.51,3884529.2600000002,99.81
129,214547.15,3884529.15,91.54
130,214546.31,3884529.45,93.77
131,214546.72,3884529.42,103.96000000000001
132,214547.01,3884532.74,91.26
133,214547.68,3884535.08,93.79
134,214549.43,3884540.65,103.62
135,214549.53,3884540.33,108.01
136,214550.18,3884544.95,96.38
137,214550.19,3884546.04,90.29
138,214551.68,3884547.86,115.75
139,214551.30000000002,3884549.18,98.77
140,214551.58000000002,3884551.7800000003,89.93
141,214552.49,3884551.97,111.34
142,214552.4,3884552.33,106.91
143,214552.98,3884553.73,112.88
144,214552.89,3884556.5700000003,93.78
145,214553.34,3884556.0100000002,108.08
146,214553.16,3884556.74,99.29
147,214553.81,3884559.15,100.97
148,214553.85,3884560.2800000003,95.22
149,214554.30000000002,3884559.65,109.93
150,214554.59,3884561.0100000002,108.85000000000001
151,214554.69,3884564.5500000003,90.28
152,214554.92,3884564.83,94.37
153,214555.13,3884563.87,105.22
154,214555.83000000002,3884567.44,101.0
155,214555.98,3884568.08,101.02
156,214556.1,3884571.2600000002,100.84
157,214555.71,3884570.33,97.03
158,214555.84,3884568.23,112.75
159,214555.15,3884567.45,100.35000000000001
160,214555.07,3884567.8000000003,96.47
161,214554.61000000002,3884565.84,96.85000000000001
162,214554.21,3884564.95,92.4
163,214554.1,3884561.44,110.53
164,214553.87,3884561.14,106.75
165,214553.56,3884559.83,107.13
166,214553.67,3884559.4,112.23
167,214553.01,3884559.6,95.05
168,214552.77000000002,3884559.31,90.88
169,214552.30000000002,3884557.39,90.86
170,214552.47,3884555.45,106.62
171,214552.09,3884555.74,95.4
172,214552.25,3884555.1,103.28
173,214551.83000000002,3884555.5,90.57000000000001
174,214551.81,3884553.12,104.28
175,214551.72,3884552.24,107.31
176,214551.89,3884551.6,115.36
177,214551.56,3884550.43,114.25
178,214550.44,3884549.7600000002,90.87
179,214550.29,3884547.92,98.3
180,214550.1,3884547.42,96.57000000000001
181,214549.97,3884546.7,97.68
182,214549.19,3884541.37,110.37
183,214548.35,3884540.68,94.09
184,214548.21,3884538.94,100.9
185,214545.91,3884530.64,94.46000000000001
186,214545.56,3884529.52,92.56
187,214545.17,3884530.91,97.51
188,214545.55000000002,3884530.94,106.77
189,214545.96,3884535.06,92.23
190,214546.63,3884537.44,94.4
191,214548.0,3884541.02,106.58
192,214548.80000000002,3884545.22,101.22
193,214549.06,3884546.64,99.25
194,214549.51,3884547.43,105.52
195,214549.65,3884548.14,104.61
196,214549.98,3884551.75,91.26
197,214550.43,3884553.73,90.59
198,214550.71,3884552.68,103.65
199,214550.99,3884551.63,116.58
200,214550.86000000002,3884553.33,103.57000000000001
201,214550.75,3884555.0,90.92
202,214551.38,3884553.8000000003,113.35000000000001
203,214551.6,3884554.19,116.43
204,214551.83000000002,3884555.7600000002,112.75
205,214551.76,3884557.3200000003,101.86
206,214551.87,3884559.45,91.88
207,214552.25,3884557.88,110.38
208,214552.48,3884559.49,106.48
209,214553.01,3884563.8000000003,94.0
210,214554.45,3884566.77,111.34
211,214554.52000000002,3884570.64,90.28
212,214555.05000000002,3884570.87,101.85000000000001
213,214555.19,3884571.63,100.71000000000001
214,214555.65,3884575.15,91.13
215,214556.31,3884579.85,92.12
216,214555.07,3884574.4,94.19
217,214554.84,3884572.59,99.57000000000001
218,214554.84,3884571.13,108.14
219,214554.77000000002,3884571.5100000002,104.14
220,214554.65,3884570.68,106.11
221,214554.36000000002,3884570.71,98.76
222,214554.42,3884568.94,110.95
223,214554.15,3884567.45,113.11
224,214553.97,3884568.3000000003,103.79
225,214553.42,3884568.17,91.07000000000001
226,214552.47,3884561.54,107.43
227,214552.16,3884562.92,91.62
228,214552.31,3884560.95,106.96000000000001
229,214552.24,3884559.93,111.35000000000001
230,214551.79,3884557.93,112.3
231,214551.53,3884557.74,107.10000000000001
232,214550.88,3884555.3000000003,105.66
233,214550.57,3884553.99,106.05
234,214549.95,3884553.92,91.16
235,214550.28,3884552.65,106.89
236,214550.2,3884551.74,110.38
237,214550.17,3884550.67,115.82000000000001
238,214549.39,3884549.9,101.49000000000001
239,214548.65,3884547.77,96.16
