,x,y,z
0,214465.22,3884479.67,94.16
1,214465.07,3884479.04,94.11
2,214464.91,3884478.43,94.01
3,214464.75,3884477.8000000003,94.01
4,214464.6,3884477.18,93.96000000000001
5,214464.44,3884476.5500000003,93.92
6,214463.79,3884476.8000000003,94.0
7,214463.95,3884477.41,94.02
8,214464.25,3884478.62,94.12
9,214464.55000000002,3884479.84,94.26
10,214465.31,3884482.88,94.3
11,214465.47,3884486.41,94.37
12,214465.31,3884485.7800000003,94.39
13,214465.16,3884485.16,94.34
14,214465.0,3884484.54,94.3
15,214464.69,3884483.29,94.35000000000001
16,214464.39,3884482.04,94.47
17,214463.92,3884480.18,94.38
18,214463.76,3884479.56,94.29
19,214463.61000000002,3884478.94,94.18
20,214463.45,3884478.3200000003,94.15
21,214463.30000000002,3884477.7,94.10000000000001
22,214462.98,3884476.46,93.99
23,214462.24,3884476.33,94.06
24,214462.69,3884478.15,94.23
25,214462.84,3884478.75,94.28
26,214462.99,3884479.36,94.35000000000001
27,214463.15,3884479.97,94.39
28,214463.30000000002,3884480.5700000003,94.49
29,214463.45,3884481.18,94.53
30,214463.9,3884483.0,94.48
31,214464.5,3884485.44,94.43
32,214464.65,3884486.04,94.45
33,214464.95,3884487.2600000002,94.4
34,214465.1,3884487.88,94.35000000000001
35,214465.28,3884490.95,94.14
36,214464.82,3884489.0500000003,94.32000000000001
37,214464.51,3884487.8000000003,94.4
38,214464.36000000002,3884487.17,94.46000000000001
39,214464.21,3884486.54,94.48
40,214464.05000000002,3884485.92,94.47
41,214463.89,3884485.29,94.48
42,214463.58000000002,3884484.04,94.49
43,214463.43,3884483.41,94.55
44,214463.27000000002,3884482.7800000003,94.56
45,214463.12,3884482.16,94.55
46,214462.96,3884481.5300000003,94.52
47,214462.80000000002,3884480.91,94.44
48,214462.65,3884480.2800000003,94.45
49,214462.49,3884479.66,94.43
50,214462.18,3884478.4,94.36
51,214462.02000000002,3884477.7800000003,94.25
52,214461.86000000002,3884477.16,94.19
53,214461.7,3884476.5300000003,94.12
54,214461.07,3884476.42,94.2
55,214461.23,3884477.04,94.28
56,214461.38,3884477.64,94.32000000000001
57,214461.53,3884478.2600000002,94.37
58,214461.69,3884478.87,94.45
59,214461.99,3884480.1,94.49
60,214462.14,3884480.71,94.51
61,214462.30000000002,3884481.3200000003,94.5
62,214462.45,3884481.93,94.54
63,214462.75,3884483.16,94.55
64,214462.9,3884483.77,94.55
65,214463.06,3884484.39,94.52
66,214463.21,3884485.0,94.51
67,214463.51,3884486.23,94.48
68,214463.66,3884486.85,94.5
69,214463.82,3884487.46,94.47
70,214463.97,3884488.08,94.45
71,214464.27000000002,3884489.31,94.39
72,214465.02000000002,3884492.4,94.08
73,214465.48,3884494.2600000002,94.0
74,214465.57,3884496.72,94.12
75,214465.26,3884495.48,94.08
76,214465.11000000002,3884494.87,94.01
77,214464.65,3884493.02,94.04
78,214464.35,3884491.7800000003,94.17
79,214464.2,3884491.16,94.24
80,214464.05000000002,3884490.5500000003,94.3
81,214463.89,3884489.93,94.37
82,214463.74,3884489.31,94.43
83,214463.29,3884487.46,94.47
84,214463.13,3884486.84,94.52
85,214462.98,3884486.23,94.54
86,214462.83000000002,3884485.61,94.56
87,214462.52000000002,3884484.38,94.54
88,214462.22,3884483.15,94.57000000000001
89,214461.91,3884481.92,94.56
90,214461.61000000002,3884480.69,94.55
91,214461.45,3884480.08,94.55
92,214460.99,3884478.24,94.44
93,214460.84,3884477.62,94.4
94,214460.52000000002,3884476.39,94.23
95,214459.64,3884476.46,94.36
96,214459.80000000002,3884477.0700000003,94.44
97,214459.95,3884477.66,94.51
98,214460.1,3884478.2800000003,94.53
99,214460.99,3884481.89,94.56
100,214461.15,3884482.5,94.61
101,214461.29,3884483.1,94.61
102,214461.45,3884483.71,94.60000000000001
103,214461.6,3884484.31,94.60000000000001
104,214462.49,3884487.95,94.53
105,214462.64,3884488.56,94.5
106,214462.79,3884489.17,94.47
107,214462.94,3884489.7800000003,94.46000000000001
108,214463.83000000002,3884493.44,94.10000000000001
109,214463.98,3884494.0500000003,94.06
110,214464.28,3884495.2800000003,93.98
111,214465.35,3884499.5500000003,94.21000000000001
112,214465.5,3884500.15,94.25
113,214466.06,3884505.27,95.95
114,214465.73,3884504.06,95.26
115,214465.4,3884502.84,94.76
116,214465.25,3884502.22,94.68
117,214464.62,3884499.75,94.33
118,214463.84,3884496.65,94.16
119,214463.68,3884496.0300000003,94.06
120,214463.53,3884495.41,94.03
121,214463.07,3884493.54,94.2
122,214462.92,3884492.92,94.23
123,214461.85,3884488.5700000003,94.59
124,214461.69,3884487.95,94.60000000000001
125,214461.54,3884487.3200000003,94.62
126,214461.23,3884486.08,94.69
127,214461.08000000002,3884485.46,94.7
128,214460.77000000002,3884484.23,94.69
129,214460.30000000002,3884482.37,94.65
130,214460.15,3884481.75,94.64
131,214459.38,3884478.65,94.60000000000001
132,214459.22,3884478.04,94.58
133,214459.06,3884477.42,94.51
134,214458.91,3884476.8000000003,94.47
135,214458.04,3884476.45,94.5
136,214458.64,3884478.87,94.60000000000001
137,214458.79,3884479.47,94.64
138,214458.95,3884480.08,94.66
139,214459.1,3884480.68,94.81
140,214459.7,3884483.1,94.7
141,214460.0,3884484.33,94.74
142,214460.15,3884484.93,94.76
143,214460.75,3884487.36,94.67
144,214462.1,3884492.86,94.36
145,214462.7,3884495.3200000003,94.10000000000001
146,214462.85,3884495.92,94.05
147,214463.62,3884498.97,94.34
148,214463.92,3884500.2,94.39
149,214464.23,3884501.42,94.61
150,214464.39,3884502.0300000003,94.67
151,214464.54,3884502.64,94.81
152,214464.7,3884503.24,94.97
153,214465.02000000002,3884504.44,95.54
154,214465.18,3884505.04,95.95
155,214465.5,3884506.24,96.5
156,214466.1,3884510.61,97.08
157,214465.95,3884509.99,97.06
158,214465.80000000002,3884509.38,97.05
159,214465.64,3884508.75,97.07000000000001
160,214465.49,3884508.13,97.10000000000001
161,214465.17,3884506.92,96.72
162,214465.01,3884506.31,96.51
163,214464.85,3884505.7,96.26
164,214464.52000000002,3884504.49,95.61
165,214464.36000000002,3884503.89,95.24
166,214464.2,3884503.29,94.98
167,214463.88,3884502.06,94.7
168,214463.72,3884501.45,94.59
169,214463.57,3884500.83,94.52
170,214463.41,3884500.21,94.42
171,214463.25,3884499.6,94.36
172,214463.1,3884498.98,94.33
173,214462.95,3884498.37,94.33
174,214462.48,3884496.52,94.06
175,214462.32,3884495.9,94.06
176,214462.17,3884495.2800000003,94.13
177,214462.02000000002,3884494.67,94.21000000000001
178,214461.72,3884493.42,94.34
179,214461.57,3884492.81,94.4
180,214461.42,3884492.18,94.48
181,214461.26,3884491.5700000003,94.49
182,214461.11000000002,3884490.95,94.58
183,214459.58000000002,3884484.77,94.78
184,214459.43,3884484.16,94.79
185,214459.27000000002,3884483.5500000003,94.73
186,214458.51,3884480.47,94.69
187,214458.35,3884479.86,94.64
188,214458.2,3884479.24,94.61
189,214458.04,3884478.63,94.62
190,214457.89,3884478.0100000002,94.64
191,214457.74,3884477.4,94.61
192,214457.58000000002,3884476.7800000003,94.59
193,214457.12,3884477.6,94.63
194,214457.27000000002,3884478.21,94.59
195,214457.42,3884478.81,94.57000000000001
196,214457.57,3884479.42,94.60000000000001
197,214457.72,3884480.0300000003,94.61
198,214457.88,3884480.64,94.67
199,214458.03,3884481.25,94.7
200,214458.63,3884483.67,94.77
201,214458.79,3884484.2800000003,94.81
202,214459.54,3884487.3200000003,94.77
203,214459.69,3884487.94,94.82000000000001
204,214460.15,3884489.7800000003,94.78
205,214460.44,3884491.0,94.59
206,214460.59,3884491.61,94.55
