,x,y,z
0,233584.75,4283704.11,125.99000000000001
1,233584.7,4283703.0600000005,126.0
2,233585.95,4283701.24,126.07000000000001
3,233586.04,4283703.25,126.0
4,233586.13,4283705.28,125.91
5,233587.61000000002,4283696.69,126.3
6,233587.65,4283697.71,126.23
7,233589.69,4283699.51,126.05
8,233589.9,4283704.57,125.85000000000001
9,233591.44,4283696.5200000005,126.28
10,233591.48,4283697.5200000005,126.2
11,233591.53,4283698.55,126.11
12,233591.67,4283701.59,125.98
13,233592.11000000002,4283698.25,126.12
14,233593.58000000002,4283700.8100000005,125.96000000000001
15,233593.62,4283701.8100000005,125.93
16,233593.71,4283703.85,125.83
17,233594.07,4283697.42,126.14
18,233595.57,4283702.55,125.83
19,233596.27000000002,4283704.84,125.76
20,233596.01,4283698.62,126.0
21,233598.22,4283703.89,125.74000000000001
22,233598.0,4283698.69,125.93
23,233601.41,4283702.78,125.74000000000001
24,233601.49,4283704.79,125.66
25,233603.23,4283701.48,125.79
26,233603.27000000002,4283702.5,125.74000000000001
27,233603.36000000002,4283704.51,125.68
28,233603.9,4283703.66,125.72
29,233603.72,4283699.49,125.91
30,233605.74,4283700.85,125.88000000000001
31,233605.69,4283699.83,125.9
32,233607.03,4283700.07,125.92
33,233607.61000000002,4283700.79,125.93
34,233607.53,4283698.7,126.01
35,233607.49,4283697.66,126.10000000000001
36,233608.86000000002,4283698.97,125.98
37,233609.52000000002,4283700.73,125.93
38,233609.39,4283697.62,126.11
39,233610.66,4283696.71,126.18
40,233610.7,4283697.71,126.13000000000001
41,233611.53,4283704.01,125.84
42,233611.36000000002,4283699.87,126.02
43,233611.27000000002,4283697.78,126.13000000000001
44,233611.22,4283696.74,126.2
45,233612.53,4283696.61,126.22
46,233612.57,4283697.63,126.14
47,233613.32,4283700.63,125.98
48,233613.29,4283699.57,126.05
49,233614.58000000002,4283699.1,126.06
50,233614.62,4283700.09,126.05
51,233615.38,4283704.35,125.82000000000001
52,233615.29,4283702.26,125.95
53,233615.25,4283701.22,125.99000000000001
54,233615.13,4283698.13,126.11
55,233615.08000000002,4283697.11,126.21000000000001
56,233615.03,4283696.0600000005,126.25
57,233616.93,4283695.76,126.28
58,233618.22,4283695.55,126.3
59,233619.03,4283700.2,126.0
60,233618.99,4283699.18,126.04
61,233621.05000000002,4283702.4,125.94
62,233621.0,4283701.35,125.99000000000001
63,233620.97,4283700.34,126.01
64,233620.87,4283698.2700000005,126.10000000000001
65,233622.92,4283700.08,126.03
66,233622.87,4283699.03,126.09
67,233622.83000000002,4283698.0,126.12
68,233624.86000000002,4283701.88,126.06
69,233626.91,4283703.0200000005,126.0
70,233626.79,4283699.92,126.09
71,233626.75,4283698.87,126.17
72,233626.66,4283696.8,126.26
73,233628.04,4283698.96,126.14
74,233628.54,4283696.34,126.32000000000001
75,233631.84,4283696.0600000005,126.42
76,233632.14,4283703.14,126.14
77,233632.65,4283701.54,126.18
78,233633.85,4283696.0,126.42
79,233633.93,4283698.03,126.31
80,233634.02000000002,4283700.05,126.24000000000001
81,233634.78,4283703.3100000005,126.21000000000001
82,233634.74,4283702.2700000005,126.21000000000001
83,233634.52000000002,4283697.1,126.33
84,233634.48,4283696.0600000005,126.44
85,233635.81,4283695.63,126.46000000000001
86,233635.85,4283696.65,126.41
87,233635.98,4283699.68,126.28
88,233636.02000000002,4283700.68,126.26
89,233636.11000000002,4283702.7,126.27
90,233636.15,4283703.69,126.26
91,233636.42,4283695.89,126.42
92,233638.19,4283702.18,126.29
93,233638.72,4283700.84,126.32000000000001
94,233638.68,4283699.8,126.33
95,233638.64,4283698.78,126.29
96,233638.59,4283697.74,126.33
97,233638.56,4283696.69,126.38000000000001
98,233640.81,4283703.58,126.38000000000001
99,233640.73,4283701.51,126.35000000000001
100,233640.6,4283698.4,126.39
101,233640.56,4283697.37,126.36
102,233640.48,4283695.3,126.45
103,233641.92,4283695.53,126.42
104,233642.01,4283697.55,126.34
105,233642.18,4283701.55,126.39
