,x,y,z
0,483671.13,3811220.96,190.06
1,483671.25,3811221.95,190.06
2,483671.36,3811222.93,190.06
3,483671.47000000003,3811223.92,190.01
4,483671.68,3811225.87,189.97
5,483671.91000000003,3811227.83,189.88
6,483672.04000000004,3811222.29,190.05
7,483671.82,3811220.33,190.12
8,483671.5,3811217.39,190.17000000000002
9,483671.29000000004,3811215.43,190.20000000000002
10,483671.19,3811214.44,190.20000000000002
11,483672.13,3811210.25,190.3
12,483671.15,3811201.45,190.42000000000002
13,483671.26,3811202.42,190.39000000000001
14,483671.37,3811203.4,190.37
15,483671.47000000003,3811204.37,190.37
16,483671.69,3811206.33,190.36
17,483671.91000000003,3811208.3000000003,190.35
18,483672.12,3811203.06,190.43
19,483671.92,3811201.11,190.44
20,483671.60000000003,3811198.17,190.45000000000002
21,483671.38,3811196.22,190.44
22,483671.11,3811194.94,193.76
23,483671.18,3811194.27,190.38
24,483671.08,3811181.04,190.05
25,483671.19,3811182.0100000002,190.08
26,483671.29000000004,3811182.98,190.12
27,483671.4,3811183.95,190.14000000000001
28,483671.51,3811184.92,190.12
29,483671.61,3811185.9,190.16
30,483671.93,3811188.81,190.27
31,483672.15,3811190.75,190.28
32,483672.03,3811181.88,190.06
33,483671.71,3811178.98,190.02
34,483671.51,3811177.0300000003,189.97
35,483671.3,3811175.09,189.93
36,483671.19,3811174.11,189.92000000000002
37,483671.09,3811173.14,189.9
38,483671.02,3811160.66,189.62
39,483671.13,3811161.63,189.67000000000002
40,483671.23,3811162.59,189.66
41,483671.34,3811163.5500000003,189.69
42,483671.45,3811164.5300000003,189.68
43,483671.66000000003,3811166.47,189.72
44,483671.88,3811168.41,189.75
45,483671.84,3811159.81,189.6
46,483671.64,3811157.87,189.58
47,483671.42,3811155.91,189.59
48,483671.22000000003,3811153.97,189.52
49,483671.11,3811153.0,189.53
50,483671.0,3811152.02,189.54
51,483671.05,3811141.23,189.5
52,483671.15,3811142.21,189.5
53,483671.26,3811143.17,189.49
54,483671.37,3811144.14,189.51
55,483671.48,3811145.11,189.49
56,483671.69,3811147.0500000003,189.5
57,483671.91000000003,3811148.99,189.48
58,483672.05,3811141.65,189.53
59,483671.73,3811138.75,189.54
60,483671.52,3811136.8000000003,189.54
61,483671.31,3811134.86,189.55
62,483671.2,3811133.89,189.53
63,483671.10000000003,3811132.93,189.57
64,483671.0,3811131.96,189.52
65,483671.17,3811122.85,189.44
66,483671.29000000004,3811123.8200000003,189.42000000000002
67,483671.39,3811124.7800000003,189.47
68,483671.60000000003,3811126.72,189.49
69,483671.92,3811129.62,189.53
70,483564.83,3811223.35,190.35
71,483565.02,3811225.3200000003,190.35
72,483565.2,3811227.2800000003,190.38
73,483565.29000000004,3811228.27,190.34
74,483565.47000000003,3811230.23,190.37
75,483566.33,3811230.5300000003,190.4
76,483566.14,3811228.5500000003,190.44
77,483565.53,3811221.67,190.4
78,483565.35000000003,3811219.71,190.43
79,483565.17,3811217.75,190.44
80,483565.08,3811216.77,190.49
81,483564.91000000003,3811214.81,190.47
82,483564.75,3811197.15,190.44
83,483564.93,3811199.09,190.45000000000002
84,483565.11,3811201.06,190.47
85,483565.21,3811202.0300000003,190.44
86,483565.38,3811203.98,190.41
87,483565.57,3811205.93,190.4
88,483565.75,3811207.91,190.38
89,483565.84,3811208.88,190.32
90,483566.17,3811214.3000000003,194.47
91,483566.66000000003,3811217.69,190.42000000000002
92,483566.84,3811219.64,190.46
93,483567.02,3811221.59,190.52
94,483567.2,3811223.56,190.52
95,483567.29000000004,3811224.54,190.52
96,483567.48,3811226.5,190.48
97,483568.59,3811230.1,190.52
98,483568.41000000003,3811228.13,190.51
99,483568.33,3811227.14,190.51
100,483568.15,3811225.18,190.52
101,483567.96,3811223.22,190.57
102,483567.34,3811216.34,190.49
103,483567.14,3811215.92,194.42000000000002
104,483566.93,3811214.69,196.86
105,483567.17,3811214.38,190.58
106,483567.0,3811212.43,190.4
107,483566.91000000003,3811211.46,190.34
108,483566.73,3811209.5,190.36
109,483566.56,3811207.5500000003,190.36
110,483566.38,3811205.58,190.44
111,483566.29000000004,3811204.6,190.46
112,483564.82,3811193.79,201.94
113,483565.31,3811193.84,190.51
114,483565.13,3811191.88,190.44
115,483564.95,3811189.93,190.44
116,483564.79000000004,3811187.99,190.31
117,483564.83,3811173.08,189.8
118,483564.93,3811174.04,189.8
119,483565.10000000003,3811175.99,189.84
120,483565.28,3811177.93,189.85
121,483565.46,3811179.88,190.01
122,483565.06,3811180.08,199.97
123,483565.64,3811181.83,190.01
124,483564.96,3811180.73,203.91
125,483565.33,3811182.97,199.97
126,483565.52,3811183.29,196.04
127,483565.59,3811185.0300000003,198.4
128,483565.78,3811186.98,198.19
129,483565.74,3811187.74,200.77
130,483565.57,3811187.44,204.38
131,483565.99,3811188.17,195.69
132,483565.7,3811188.47,203.51
133,483565.73,3811189.33,204.61
134,483566.0,3811189.8000000003,199.22
135,483566.53,3811191.5300000003,190.45000000000002
136,483566.71,3811193.48,190.46
137,483566.88,3811195.43,190.56
138,483567.06,3811197.37,190.63
139,483567.25,3811199.3200000003,190.6
140,483567.34,3811200.3000000003,190.58
141,483567.52,3811202.2600000002,190.53
142,483568.17,3811209.11,190.36
143,483568.35000000003,3811211.08,190.28
144,483568.53,3811213.04,190.35
145,483568.55,3811213.86,191.87
146,483568.39,3811214.3200000003,196.74
147,483568.74,3811215.83,191.75
148,483568.9,3811216.95,190.5
149,483568.99,3811217.94,190.47
150,483569.17,3811219.89,190.49
151,483569.35000000003,3811221.84,190.57
152,483570.17,3811230.68,190.53
153,483570.78,3811228.63,190.51
154,483570.60000000003,3811226.66,190.59
155,483570.43,3811224.71,190.55
156,483570.34,3811223.72,190.52
157,483570.16000000003,3811221.77,190.48
158,483569.75,3811220.88,198.35
159,483569.65,3811219.88,198.64000000000001
160,483569.99,3811219.81,190.47
161,483569.8,3811217.84,190.53
162,483569.42,3811216.23,196.25
