,x,y,z
0,346432.84,3929802.34,127.99000000000001
1,346432.87,3929801.29,128.01
2,346432.9,3929800.27,127.99000000000001
3,346432.93,3929799.21,128.04
4,346432.97000000003,3929798.16,128.03
5,346432.44,3929776.37,128.29
6,346432.41000000003,3929777.41,128.31
7,346432.3,3929780.5700000003,128.14000000000001
8,346432.27,3929781.63,128.04
9,346432.2,3929783.74,127.91
10,346432.16000000003,3929784.74,128.07
11,346432.12,3929785.7600000002,128.23
12,346432.01,3929788.85,128.34
13,346431.87,3929793.0700000003,128.27
14,346431.8,3929795.24,127.94
15,346431.72000000003,3929797.3000000003,128.07
16,346431.62,3929800.46,127.99000000000001
17,346431.54,3929802.58,128.01
18,346431.22000000003,3929800.36,127.97
19,346431.26,3929799.2800000003,128.04
20,346431.29,3929798.24,128.02
21,346431.35000000003,3929796.16,128.06
22,346431.43,3929794.12,127.93
23,346431.49,3929791.93,128.28
24,346431.53,3929790.91,128.27
25,346431.66000000003,3929786.7600000002,128.29
26,346432.0,3929776.39,128.31
27,346432.13,3929772.31,128.08
28,346432.16000000003,3929771.27,128.09
29,346432.2,3929770.25,128.04
30,346432.3,3929767.15,128.08
31,346431.87,3929745.68,127.93
32,346431.83,3929746.74,127.89
33,346431.8,3929747.7600000002,127.95
34,346431.76,3929748.7800000003,127.93
35,346431.65,3929751.83,128.09
36,346431.54,3929754.94,128.01
37,346430.92,3929773.5300000003,128.13
38,346430.84,3929775.58,128.24
39,346430.7,3929779.74,128.29
40,346430.48,3929785.96,128.34
41,346430.45,3929786.99,128.39000000000001
42,346430.41000000003,3929788.02,128.35
43,346430.38,3929789.13,128.3
44,346430.21,3929794.45,127.86
45,346430.16000000003,3929795.45,128.05
46,346430.09,3929797.52,128.06
47,346429.95,3929801.74,128.05
48,346429.67,3929799.42,128.05
49,346429.74,3929797.33,128.05
50,346429.77,3929796.3000000003,128.07
51,346429.8,3929795.2600000002,128.03
52,346429.91000000003,3929792.08,128.31
53,346429.94,3929791.0500000003,128.3
54,346429.97000000003,3929790.0,128.31
55,346430.01,3929788.97,128.3
56,346430.04,3929787.9,128.37
57,346430.07,3929786.86,128.41
58,346430.10000000003,3929785.83,128.34
59,346430.19,3929783.84,128.01
60,346430.22000000003,3929782.83,127.95
61,346430.25,3929781.75,128.1
62,346430.28,3929780.69,128.24
63,346430.31,3929779.65,128.3
64,346430.34,3929778.59,128.33
65,346430.38,3929777.56,128.32
66,346430.58,3929771.4,128.15
67,346430.61,3929770.38,128.13
68,346430.64,3929769.33,128.1
69,346430.67,3929768.31,128.11
70,346430.71,3929767.29,128.11
71,346430.74,3929766.27,128.06
72,346430.81,3929764.19,128.01
73,346430.84,3929763.17,128.01
74,346430.87,3929762.14,128.0
75,346430.9,3929761.11,128.04
76,346430.94,3929760.09,128.0
77,346430.97000000003,3929759.0500000003,128.02
78,346431.0,3929758.02,128.05
79,346431.03,3929757.0100000002,128.01
80,346431.24,3929750.83,128.01
81,346431.27,3929749.8200000003,127.97
82,346431.31,3929748.8200000003,127.93
83,346431.34,3929747.79,127.92
84,346431.47000000003,3929743.68,127.86
85,346431.5,3929742.68,127.85000000000001
86,346431.53,3929741.63,127.87
87,346431.60000000003,3929739.6,127.88000000000001
88,346431.63,3929738.5500000003,127.88000000000001
89,346431.66000000003,3929737.54,127.9
90,346431.71,3929736.49,127.91
91,346431.83,3929732.4,128.07
92,346430.94,3929721.5700000003,128.12
93,346430.57,3929732.8000000003,128.09
94,346430.39,3929737.95,127.9
95,346430.32,3929740.0100000002,127.9
96,346430.29,3929741.04,127.9
97,346430.25,3929742.06,127.88000000000001
98,346429.73,3929757.47,127.99000000000001
99,346429.66000000003,3929759.54,128.05
100,346429.62,3929760.5700000003,128.04
101,346429.55,3929762.65,128.0
102,346429.48,3929764.71,128.04
103,346428.82,3929784.4,128.17000000000002
104,346428.74,3929786.41,128.42000000000002
105,346428.57,3929791.65,128.32
106,346428.5,3929793.8200000003,128.05
107,346428.32,3929799.08,128.05
108,346428.25,3929801.17,128.04
109,346427.91000000003,3929802.65,127.95
110,346427.95,3929801.61,128.01
111,346428.01,3929799.5,128.03
112,346428.05,3929798.46,128.03
113,346428.11,3929796.36,128.09
114,346428.35000000003,3929789.02,128.3
115,346428.41000000003,3929786.95,128.38
116,346428.45,3929785.91,128.36
117,346428.49,3929784.88,128.3
118,346428.62,3929780.74,128.32
119,346428.65,3929779.68,128.41
120,346428.72000000003,3929777.63,128.36
121,346428.79,3929775.56,128.26
122,346428.82,3929774.56,128.16
123,346428.95,3929770.45,128.09
124,346428.99,3929769.4,128.11
125,346429.02,3929768.39,128.08
126,346429.31,3929759.11,128.04
127,346429.41000000003,3929756.02,128.0
128,346429.44,3929755.0100000002,127.98
