,x,y,z
0,347333.82,3929258.63,131.0
1,347333.75,3929277.73,130.79
2,347334.38,3929305.5100000002,130.8
3,347334.07,3929314.66,130.67000000000002
4,347335.21,3929342.1,130.02
5,347342.46,3929249.67,130.99
6,347342.54,3929267.7600000002,131.35
7,347342.85000000003,3929258.79,131.28
8,347343.37,3929304.89,131.13
9,347344.03,3929333.73,130.82
10,347343.72000000003,3929342.96,130.56
11,347351.61,3929249.7600000002,131.25
12,347352.66000000003,3929259.13,131.67000000000002
13,347352.36,3929268.11,131.71
14,347352.09,3929277.08,131.98
15,347351.45,3929314.7800000003,132.22
16,347351.81,3929304.64,132.36
17,347352.43,3929286.52,132.14000000000001
18,347352.66000000003,3929324.25,131.71
19,347354.19,3929342.4,131.1
20,347357.08,3929273.39,132.65
21,347359.4,3929267.72,132.78
22,347361.23,3929258.1,132.63
23,347362.65,3929342.66,131.01
24,347362.11,3929333.44,131.49
25,347362.69,3929313.98,135.67000000000002
26,347361.53,3929249.44,131.62
27,347352.95,3929333.12,131.04
28,347351.94,3929295.96,132.24
29,347344.26,3929323.73,130.88
30,347343.31,3929296.08,131.17000000000002
31,347334.55,3929333.08,130.29
32,347334.88,3929324.04,130.57
33,347334.01,3929296.06,130.8
34,347347.84,3929281.75,131.55
35,347379.34,3929274.71,141.28
36,347384.89,3929242.91,131.69
37,347421.94,3929242.94,131.83
38,347426.74,3929279.67,136.05
39,347424.21,3929318.2,136.14000000000001
40,347382.24,3929325.0100000002,136.68
41,347348.0,3929319.52,131.37
42,347347.14,3929244.54,130.91
43,347366.14,3929253.67,132.76
44,347366.24,3929249.8000000003,131.98
45,347366.3,3929247.84,131.64000000000001
46,347367.75,3929243.75,131.66
47,347367.69,3929245.7600000002,131.63
48,347367.66000000003,3929246.7600000002,131.66
49,347367.63,3929247.73,131.66
50,347367.61,3929248.69,131.92000000000002
51,347367.59,3929249.66,132.17000000000002
52,347367.56,3929250.63,132.36
53,347367.46,3929254.5300000003,133.12
54,347367.31,3929260.43,133.86
55,347367.28,3929261.4,133.94
56,347367.15,3929265.4,134.18
57,347367.13,3929266.35,134.26
58,347367.10000000003,3929267.34,134.36
59,347367.07,3929268.34,134.43
60,347367.01,3929270.31,134.59
61,347366.96,3929272.2800000003,134.82
62,347366.94,3929273.24,134.94
63,347366.91000000003,3929274.22,135.15
64,347366.81,3929279.0100000002,136.59
65,347366.79,3929279.96,136.97
66,347366.71,3929283.75,138.54
67,347366.66000000003,3929286.56,139.75
68,347367.04,3929295.97,140.65
69,347367.24,3929290.84,141.45000000000002
70,347367.36,3929286.0700000003,140.04
71,347367.61,3929274.73,135.65
72,347367.87,3929265.87,134.48
73,347367.9,3929264.9,134.36
74,347367.94,3929263.9,134.3
75,347368.09,3929258.96,133.87
76,347368.12,3929257.96,133.77
77,347368.15,3929257.0100000002,133.62
78,347369.81,3929244.5300000003,131.57
79,347369.75,3929246.52,131.63
80,347369.73,3929247.46,131.9
81,347369.46,3929258.2,133.99
82,347369.43,3929259.17,134.09
83,347369.41000000003,3929260.16,134.22
84,347369.38,3929261.13,134.35
85,347369.33,3929263.09,134.49
86,347369.26,3929265.08,134.7
87,347369.23,3929266.0500000003,134.82
88,347369.21,3929267.04,134.98
89,347369.18,3929268.02,135.09
90,347368.96,3929276.77,136.89000000000001
91,347368.91000000003,3929279.59,137.96
92,347368.84,3929283.34,139.67000000000002
93,347368.76,3929288.0100000002,141.84
94,347368.69,3929290.87,142.44
95,347368.65,3929291.87,142.49
96,347368.58,3929293.91,142.20000000000002
97,347368.54,3929294.98,141.89000000000001
98,347368.49,3929296.02,141.49
99,347367.96,3929310.56,138.29
100,347368.85000000003,3929301.84,140.04
101,347368.89,3929300.77,140.35
102,347368.93,3929299.72,140.63
103,347369.23,3929292.37,142.83
104,347369.28,3929291.36,142.92000000000002
105,347369.31,3929290.39,142.81
106,347369.33,3929289.44,142.55
107,347369.36,3929288.49,142.34
108,347369.38,3929287.52,141.98
109,347369.45,3929283.83,140.1
110,347369.51,3929281.0100000002,138.81
111,347369.55,3929279.13,138.09
112,347369.63,3929275.3200000003,136.72
113,347369.66000000003,3929274.37,136.38
114,347369.97000000003,3929263.63,134.69
115,347370.0,3929262.62,134.6
116,347370.03,3929261.65,134.47
117,347370.12,3929258.71,134.13
118,347370.15,3929257.73,134.02
119,347370.17,3929256.7600000002,133.8
120,347370.33,3929250.91,132.69
121,347370.36,3929249.93,132.5
122,347371.81,3929252.3000000003,133.22
123,347371.79,3929253.2800000003,133.41
124,347371.76,3929254.27,133.61
125,347371.74,3929255.24,133.76
126,347371.51,3929264.02,135.12
127,347371.48,3929264.98,135.28
128,347371.43,3929266.93,135.69
129,347371.32,3929270.85,136.16
130,347371.3,3929271.8200000003,136.41
131,347371.28,3929272.7800000003,136.66
132,347371.25,3929273.73,136.92000000000002
133,347371.11,3929281.3000000003,139.88
134,347371.06,3929284.06,141.38
135,347371.03,3929285.9,142.33
136,347370.91000000003,3929291.59,144.17000000000002
137,347370.86,3929292.64,143.97
138,347370.83,3929293.65,143.84
