,x,y,z
0,379416.27,3889594.5700000003,143.69
1,379416.29,3889595.41,143.66
2,379416.69,3889611.63,143.59
3,379416.86,3889617.11,144.02
4,379416.88,3889617.86,144.15
5,379417.08,3889625.95,144.06
6,379417.10000000003,3889626.77,144.08
7,379417.13,3889627.58,144.1
8,379417.14,3889628.36,144.15
9,379417.27,3889633.19,144.26
10,379417.3,3889598.99,143.73
11,379417.32,3889599.74,143.72
12,379417.35000000003,3889600.54,143.77
13,379417.37,3889601.37,143.78
14,379417.38,3889602.13,143.81
15,379417.44,3889604.5700000003,143.68
16,379417.78,3889617.4,144.09
17,379417.81,3889618.22,144.17000000000002
18,379417.84,3889619.0100000002,144.23
19,379417.86,3889619.83,144.27
20,379417.88,3889620.67,144.25
21,379417.9,3889621.52,144.19
22,379417.93,3889623.11,144.12
23,379417.95,3889623.87,144.08
24,379418.0,3889625.49,144.12
25,379418.04,3889627.08,144.26
26,379418.06,3889627.86,144.27
27,379418.08,3889628.65,144.25
28,379418.10000000003,3889629.49,144.27
29,379418.15,3889631.09,144.31
30,379418.17,3889631.95,144.28
31,379418.19,3889632.7800000003,144.29
32,379418.21,3889633.61,144.38
33,379418.26,3889635.17,144.41
34,379418.31,3889637.61,144.31
35,379417.9,3889599.86,143.73
36,379417.95,3889601.44,143.79
37,379417.97000000003,3889602.2,143.82
38,379418.35000000003,3889616.7,144.09
39,379418.38,3889617.54,144.14000000000001
40,379418.42,3889619.2,144.23
41,379418.48,3889621.54,144.17000000000002
42,379418.60000000003,3889626.33,144.22
43,379418.82,3889634.4,144.46
44,379418.84,3889635.24,144.42000000000002
45,379418.9,3889637.68,144.33
46,379418.46,3889595.0100000002,143.65
47,379418.49,3889595.8000000003,143.66
48,379418.53,3889597.42,143.69
49,379418.55,3889598.22,143.72
50,379418.57,3889598.99,143.70000000000002
51,379418.59,3889599.7800000003,143.73
52,379418.61,3889600.6,143.77
53,379418.64,3889601.46,143.8
54,379418.65,3889602.22,143.81
55,379418.69,3889603.91,143.77
56,379418.89,3889611.9,143.70000000000002
57,379419.01,3889615.95,144.03
58,379419.04,3889616.7600000002,144.15
59,379419.06,3889617.5300000003,144.16
60,379419.12,3889619.88,144.14000000000001
61,379419.16000000003,3889622.41,143.71
62,379419.22000000003,3889624.8000000003,143.71
63,379419.28,3889626.37,144.15
64,379419.33,3889627.99,144.33
65,379419.35000000003,3889628.83,144.38
